TABLE_NAME
bet_slip_agent_shares
bet_slips
session_bet_slip_agent_shares
session_bet_slips
bet_slips
beta_emails
betfair_logs
betfair_markets
betfair_match_metadata
betfair_odds
betfair_runners
betfair_session_runs
betfair_sessions
betfair_tournament_metadata
pro_event_bet_slips
pro_event_session_bet_slips
session_bet_slips
bet_slip_agent_shares
bet_slips
session_bet_slip_agent_shares
session_bet_slips
bet_slip_agent_shares
bet_slips
session_bet_slip_agent_shares
session_bet_slips
bet_slip_agent_shares
bet_slips
session_bet_slip_agent_shares
session_bet_slips
