TABLE_NAME
USER_PRIVILEGES
user_match_views
user_settings
user_usage_charges_packages
users
pro_event_user_coins_histories
user_coins_histories
user_poll_options
user_privileges
users
user_match_views
user_usage_charges_packages
users
user_match_views
user_settings
user_usage_charges_packages
users
user_match_views
user_settings
user_usage_charges_packages
users
user
events_stages_summary_by_user_by_event_name
events_statements_summary_by_user_by_event_name
events_transactions_summary_by_user_by_event_name
events_waits_summary_by_user_by_event_name
memory_summary_by_user_by_event_name
status_by_user
user_variables_by_thread
users
memory_by_user_by_current_bytes
user_summary
user_summary_by_file_io
user_summary_by_file_io_type
user_summary_by_stages
user_summary_by_statement_latency
user_summary_by_statement_type
waits_by_user_by_latency
x$memory_by_user_by_current_bytes
x$user_summary
x$user_summary_by_file_io
x$user_summary_by_file_io_type
x$user_summary_by_stages
x$user_summary_by_statement_latency
x$user_summary_by_statement_type
x$waits_by_user_by_latency
