COLUMN_NAME
id
user_id
match_id
runner_id
actions
status
coins_credited
odds
stake
liability
created_at
updated_at
info
market_id
provider_match_id
provider
heroic_market_type
winning_runner_ids
ip_address
debug_info
id
user_id
runner_id
actions
status
coins_credited
odds
created_at
updated_at
stake
liability
id
user_id
match_id
runner_id
actions
status
coins_credited
odds
stake
liability
created_at
updated_at
info
market_id
provider_match_id
provider
heroic_market_type
winning_runner_ids
id
user_id
match_id
runner_id
actions
status
coins_credited
odds
stake
liability
created_at
updated_at
info
market_id
provider_match_id
provider
heroic_market_type
winning_runner_ids
ip_address
debug_info
id
user_id
match_id
runner_id
actions
status
coins_credited
odds
stake
liability
created_at
updated_at
info
market_id
provider_match_id
provider
heroic_market_type
winning_runner_ids
